modelo,quechua,real,llm,sim_lexica,sim_semantica,coincide
openai/gpt-oss-120b:free,jawa,Afuera. Fuera del sitio en que uno está,hueso.,0.182,0.395,False
openai/gpt-oss-120b:free,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol,cansado o fatigado.,0.157,0.171,False
openai/gpt-oss-120b:free,piqtuy,Mezclar. Desordenar lo que ya estaba en orden,Acción de cortar o podar con herramienta afilada.,0.387,0.457,False
openai/gpt-oss-120b:free,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa,Acción de preparar alimentos mediante el calor.,0.43,0.231,False
openai/gpt-oss-120b:free,maray,"Derribar. Echar abajo, tirar al suelo",Instrumento de piedra o madera utilizado para moler o machacar alimentos.,0.374,0.252,False
openai/gpt-oss-120b:free,kikinchay,Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma,Acción de reconocer o aceptar la propia identidad y dignidad.,0.436,0.417,False
openai/gpt-oss-120b:free,janaq,"Alto. Elevado, superior, arriba",Persona adulta del sexo masculino.,0.438,0.287,False
openai/gpt-oss-120b:free,ch'uwa,Privación de algo necesario o útil,Desprender o soltar una cosa con un movimiento rápido y ligero.,0.375,0.332,False
openai/gpt-oss-120b:free,thanta,Trapo. Pedazo de tela desechado por viejo,"Utensilio de madera o metal con mango largo y cuenco amplio, usado para servir o remover alimentos líquidos.",0.37,0.341,False
openai/gpt-oss-120b:free,ayllu suti,Apellido. Nombre de familia,Designación o nombre propio de un ayllu.,0.515,0.296,False
openai/gpt-oss-120b:free,awqay,"Guerrear, hacer guerra","Reptil grande de agua, similar al caimán, con cuerpo alargado, piel escamosa y mandíbula poderosa.",0.252,-0.02,False
openai/gpt-oss-120b:free,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales,Hueso.,0.092,0.218,False
openai/gpt-oss-120b:free,manchariy,Asustarse,Cansarse o fatigarse.,0.552,0.365,False
openai/gpt-oss-120b:free,miniy,Tramar. Cruzar la rama con la urdimbre para tejer alguna tela,Hijo varón.,0.118,0.322,False
openai/gpt-oss-120b:free,yaqch'ikuy,Lavarse ligeramente las manos o los dedos,Cocinar alimentos al vapor.,0.448,0.126,False
openai/gpt-oss-120b:free,ati,Adversidad. Desventura,hijo varón.,0.25,0.388,False
openai/gpt-oss-120b:free,llat'a kay,Desnudez. Falta de vestido,Estar próximo o cercano en espacio o tiempo.,0.358,0.145,False
openai/gpt-oss-120b:free,tutayay,Anochecer. Llegar la noche,Cuidar o proteger con esmero.,0.37,0.364,False
openai/gpt-oss-120b:free,mañaqay,Pedir la mano de la novia,Acción de proteger o cuidar algo o a alguien.,0.5,0.341,False
openai/gpt-oss-120b:free,ura,"Bajo, -ja. Lo que está en un lugar inferior respecto a otras cosas de la misma clase","Cuerpo, parte principal de un ser vivo.",0.361,0.361,False
openai/gpt-oss-120b:free,pukayachiy,Abochornar. Sonrojar,Provocar que algo adquiera color rojo.,0.386,0.51,False
openai/gpt-oss-120b:free,allinchana,Normalización,Proceso de transformación o cambio que experimenta algo o alguien.,0.263,0.322,False
openai/gpt-oss-120b:free,khiwiy,"Envolver. Enovillar, arrollar",Acción de preparar alimentos mediante el calor.,0.32,0.161,False
openai/gpt-oss-120b:free,thaparaku,Mariposa nocturna de gran tamaño,Estado de gran cansancio o agotamiento.,0.571,0.12,False
openai/gpt-oss-120b:free,q'atayay,"Enturbiarse, volverse turbio un líquido",Mover o sacudir algo con fuerza y rapidez.,0.325,0.487,False
openai/gpt-oss-120b:free,puchuy,Sobrar. Haber más de lo necesario,"Pequeño, de escasa dimensión.",0.393,0.361,False
openai/gpt-oss-120b:free,khapa,Zancada. Paso largo,Capa o manto que se lleva sobre el cuerpo.,0.267,0.487,False
openai/gpt-oss-120b:free,mamuy,Pasar las manos por la superficie de un montón de cereales u otras cosas arrastrando a un lado lo que no ha de servir,Cuidar o atender con esmero.,0.281,0.353,False
openai/gpt-oss-120b:free,q'achu,Hierba verde que se da a los animales herbívoros,Corteza del árbol.,0.246,0.331,False
openai/gpt-oss-120b:free,jamyayay,"Volverse insípido, sin sabor",Acción de juntarse o reunirse un grupo de personas.,0.4,0.219,False
openai/gpt-oss-120b:free,intichaw,Domingo. Día domingo,hijo del sol.,0.312,0.436,False
openai/gpt-oss-120b:free,sika sika,Oruga. Larva vermiforme de mariposa,"muy pequeño, diminuto.",0.321,0.242,False
openai/gpt-oss-120b:free,ituray,Retirar la olla del fogón,Estado de gran fatiga o agotamiento.,0.333,0.142,False
openai/gpt-oss-120b:free,rimaysiq,Intercesor,Persona que habla.,0.296,0.243,False
openai/gpt-oss-120b:free,q'iquy,"Hacer flecos, grecas, etc",Acción de romper o partir algo en pedazos.,0.394,0.381,False
openai/gpt-oss-120b:free,pallquy,Defraudar. Hacer farsa,Estado de cansancio o agotamiento extremo.,0.317,0.528,False
openai/gpt-oss-120b:free,chaqnay,Cargar. Poner o echar peso sobre una bestia,Acción de cortar o segar vegetación con una herramienta afilada.,0.434,0.242,False
openai/gpt-oss-120b:free,wachu,Hilera,Cuerda gruesa o soga resistente.,0.162,0.355,False
openai/gpt-oss-120b:free,juñu,Conjunto. Reunión de personas o cosas que forman un todo,"Hueso, parte rígida del esqueleto que sostiene y protege los tejidos del cuerpo.",0.443,0.127,False
