modelo,quechua,real,llm,adecuacion,completitud,fluidez,similitud,justificacion
gemini-2.5-flash-lite,maray,"Derribar. Echar abajo, tirar al suelo",Maray: Persona o animal que tiene la piel o el pelaje de color blanco.,1,1,4,0,"La candidata define 'maray' como algo relacionado con color blanco de piel o pelaje, lo cual no tiene relación alguna con la referencia que significa 'derribar, echar abajo'. El significado es completamente erróneo aunque el español esté bien redactado."
gemini-2.5-flash-lite,piqtuy,Mezclar. Desordenar lo que ya estaba en orden,Acción de doblar o plegar algo.,1,1,4,5,"La candidata define 'doblar o plegar', mientras que la referencia indica 'mezclar, desordenar lo que estaba en orden'. Los significados no coinciden; la candidata es incorrecta respecto al sentido de la palabra. Aunque el español es claro, no captura el significado correcto."
gemini-2.5-flash-lite,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol,Aspakay: Acción de desgranar o separar los granos de un cereal o legumbre de su mazorca o vaina.,1,1,4,2,"La candidata define 'aspakay' como desgranar granos de cereal, lo cual no coincide con ninguno de los sentidos de la referencia (ofrenda a la divinidad con fiesta, aspecto del cielo con nubes tenues, arrebol rojo de las nubes). El significado es completamente distinto, aunque el español está bien redactado en estilo de diccionario."
gemini-2.5-flash-lite,kikinchay,Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma,"Diferencia, distinción o particularidad que hace a algo o alguien único.",1,1,4,5,"La referencia define 'kikinchay' como un verbo: identificar, hacer que cosas distintas se consideren como una misma. La candidata describe un sustantivo con sentido opuesto (diferencia, distinción, particularidad que hace único a algo). El significado es esencialmente contrario al de la referencia, por lo que la adecuación y completitud son muy bajas. La redacción en español es clara, pero el sentido no corresponde."
gemini-2.5-flash-lite,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa,Hacer que alguien o algo huela o tenga un olor agradable.,2,1,4,20,"La candidata interpreta el término como causar un olor agradable, mientras que la referencia indica la acción de oler con cuidado y persistencia (oliscar, husmear). El sentido causativo y de aroma agradable no coincide con el significado real de olfatear/buscar por el olfato. Aunque el español es claro, el significado está desviado y no captura el sentido frecuentativo de oler insistentemente."
gemini-2.5-flash-lite,jawa,Afuera. Fuera del sitio en que uno está,Parte superior o encima de algo.,2,2,5,25,"La referencia define 'jawa' como 'afuera, fuera del sitio en que uno está', mientras que la candidata lo define como 'parte superior o encima de algo'. Aunque 'jawa' puede tener acepciones relacionadas con la superficie o lo exterior, la candidata captura un sentido distinto (encima/arriba) que no coincide con el sentido principal de la referencia (afuera/exterior). La fluidez del español es clara y con estilo de diccionario, pero el significado se desvía considerablemente."
gemini-2.5-flash-lite,janaq,"Alto. Elevado, superior, arriba","Cielo, parte superior, arriba.",4,4,5,75,"La candidata captura correctamente los sentidos de 'parte superior' y 'arriba', que coinciden con la referencia. Sin embargo, añade 'cielo', que aunque relacionado semánticamente (janaq pacha = mundo de arriba/cielo), no aparece en la referencia, y omite el sentido principal de 'alto/elevado/superior'. La redacción es clara y adecuada para estilo de diccionario."
gemini-2.5-flash-lite,thanta,Trapo. Pedazo de tela desechado por viejo,"Cosa seca, deshidratada o marchita.",1,1,4,5,"La referencia define 'thanta' como trapo o pedazo de tela viejo y desechado. La candidata habla de algo seco, deshidratado o marchito, lo cual no corresponde al significado de referencia. Aunque el español es claro, el significado es incorrecto y no cubre el sentido principal."
gemini-2.5-flash-lite,awqay,"Guerrear, hacer guerra","Enemigo, adversario.",2,2,4,35,"La referencia define 'awqay' como un verbo (guerrear, hacer guerra), mientras que la candidata lo define como un sustantivo (enemigo, adversario). Aunque están en el mismo campo semántico de la guerra/conflicto, la candidata corresponde más bien a 'awqa' (enemigo) y no captura el sentido verbal de la referencia, lo que constituye un error de categoría gramatical y de significado."
gemini-2.5-flash-lite,manchariy,Asustarse,Sentir temor o espanto.,5,5,5,90,"La candidata captura correctamente el significado de 'manchariy' como sentir temor o espanto, equivalente a asustarse. La redacción es clara y en estilo de diccionario. Es ligeramente más amplia que la referencia pero mantiene el sentido principal."
gemini-2.5-flash-lite,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales,Creencia o fe.,1,1,4,0,"La referencia define 'iñu' como un insecto (nigua) parecido a la pulga, mientras que la candidata lo define como 'creencia o fe', un significado completamente distinto y sin relación con el insecto. Aunque el español es claro, el contenido es incorrecto."
gemini-2.5-flash-lite,ayllu suti,Apellido. Nombre de familia,Nombre de la comunidad o grupo familiar.,3,3,5,55,"La candidata captura parcialmente el sentido: 'ayllu suti' (literalmente 'nombre de familia/comunidad') se refiere en la referencia a 'apellido' o 'nombre de familia'. La candidata incluye 'grupo familiar', lo cual es correcto y coincide con la referencia, pero añade 'nombre de la comunidad', que se desvía del sentido principal de apellido. El español es claro y con estilo de diccionario, pero falta precisar el sentido de 'apellido'."
gemini-2.5-flash-lite,miniy,Tramar. Cruzar la rama con la urdimbre para tejer alguna tela,"Tener, poseer.",1,1,4,0,"La candidata define 'tener, poseer', que no tiene relación con el significado de referencia 'tramar, cruzar la trama con la urdimbre para tejer'. El español es claro pero el sentido es completamente erróneo."
gemini-2.5-flash-lite,ch'uwa,Privación de algo necesario o útil,"Prenda de vestir tejida, generalmente de lana, de colores vivos y diseños geométricos.",1,1,4,0,"La candidata describe una prenda de vestir tejida, lo cual no tiene ninguna relación con la referencia, que define 'ch'uwa' como privación de algo necesario o útil. El significado es completamente erróneo, aunque el español está bien redactado."
gemini-2.5-flash-lite,yaqch'ikuy,Lavarse ligeramente las manos o los dedos,Acción de hacer que algo se vuelva espeso o denso.,1,1,4,2,"La candidata no tiene relación con el significado de referencia ('lavarse ligeramente las manos'). Habla de espesar o densificar algo, lo cual es completamente distinto. Aunque el español es claro, el significado es incorrecto e incompleto respecto a la referencia."
gemini-2.5-flash-lite,llat'a kay,Desnudez. Falta de vestido,Lentitud o tardanza en el movimiento o en la acción.,1,1,4,0,"La candidata describe lentitud o tardanza, mientras que la referencia define 'desnudez' o falta de vestido. No hay relación semántica entre ambas definiciones, aunque la candidata está bien redactada en español."
