modelo,quechua,real,llm,adecuacion,completitud,fluidez,similitud,justificacion
gemini-2.5-flash,piqtuy,"Embadurnar. Manchar, pintarrajear. piqu, k'ullu phislu",Preparar un plato andino que consiste en…,1,1,2,5,"La referencia define 'piqtuy' como embadurnar, manchar o pintarrajear. La candidata habla de preparar un plato andino, lo cual no tiene relación con el significado correcto. Además, la definición candidata está incompleta y truncada. No coincide en el sentido principal."
gemini-2.5-flash,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol,Hacer la señal de la cruz.…,1,1,4,0,"La candidata define 'hacer la señal de la cruz', lo cual no tiene relación con ninguno de los sentidos de la referencia (ofrenda a la divinidad con fiesta, aspecto del cielo con nubes tenues, o arrebol rojo de las nubes). El significado es completamente distinto y no cubre ningún sentido principal, aunque la expresión en español es clara."
gemini-2.5-flash,jawa,"Sitio, lugar, superficie, parte. Tawantinsuyuqa tawa jawapi t'aqakun: Tahuantinsuyo se divide en cuatro partes",Parte exterior o superficie de un objeto…,4,3,4,65,"La candidata captura el sentido de 'superficie/parte exterior', que coincide parcialmente con la referencia ('superficie, parte'). Sin embargo, omite los sentidos de 'sitio, lugar' y 'parte' en el sentido de división territorial, como muestra el ejemplo de Tahuantinsuyo. La redacción es clara y de estilo diccionario, aunque queda incompleta."
gemini-2.5-flash,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa,"Olfatear por aquí y por allá, generalmen…",4,3,4,70,"La candidata captura el sentido de oler/olfatear repetidamente, lo que coincide con la idea de persistencia y búsqueda olfativa de la referencia. Sin embargo, está incompleta (cortada) y no menciona explícitamente la búsqueda de una cosa por el olfato, lo que reduce su completitud. El español es claro y adecuado para estilo de diccionario."
gemini-2.5-flash,ch'uwa,Líquido transparente,"Dícese de lo que es transparente, puro y…",5,4,5,85,"La candidata captura correctamente el sentido de 'transparente' y 'puro', que coincide con la referencia 'líquido transparente'. La fluidez es buena con estilo de diccionario, aunque la candidata parece cortada (termina con 'y…'). No especifica que se aplica a líquidos, pero el significado general es adecuado y correcto."
gemini-2.5-flash,maray,"Abatir. Derribar, tumbar. Hacer que baje una cosa que antes tenía la posición vertical",Piedra grande y plana utilizada para mol…,1,1,4,5,"La referencia define 'maray' como un verbo (abatir, derribar, tumbar), mientras que la candidata lo describe como una piedra plana para moler. Aunque 'maray' efectivamente puede referirse a un batán o piedra de moler en otros contextos, no coincide con el sentido de la referencia dada. La fluidez del español es buena, pero el significado no concuerda con la definición de referencia."
gemini-2.5-flash,janaq,"Alto. Elevado, superior, arriba","Relativo a la parte superior, a la altur…",5,4,4,85,"La candidata captura correctamente el sentido de 'parte superior, altura', coincidiendo con la referencia (alto, elevado, arriba). La fluidez es buena aunque la frase aparece truncada. Cubre el sentido principal pero podría incluir más matices como 'superior' o 'arriba' de forma explícita."
gemini-2.5-flash,kikinchay,Igualar. Poner al igual,Establecer la identidad o igualdad de al…,4,4,4,75,"La candidata captura el sentido de igualdad/identidad, coincidiendo con 'igualar/poner al igual'. Está incompleta (cortada) pero su significado es adecuado y bien redactado. La referencia enfatiza 'igualar' mientras la candidata añade 'identidad', que es un matiz cercano pero ligeramente distinto."
gemini-2.5-flash,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales,Designa una cantidad mínima o una pizca…,1,1,4,3,"La referencia define 'iñu' como nigua, un insecto parecido a la pulga. La candidata lo define como una cantidad mínima o pizca, lo cual no tiene relación con el significado correcto. El español es claro, pero el significado es completamente erróneo."
gemini-2.5-flash,manchariy,Asustarse,Acción de causar miedo o espanto.…,3,3,4,55,"La referencia 'asustarse' indica un sentido reflexivo/intransitivo (experimentar miedo), mientras que la candidata describe la acción de causar miedo (transitivo/causativo). Comparten el campo semántico del miedo, pero difieren en la dirección de la acción, lo que afecta la adecuación. La redacción es clara y propia de diccionario."
