idx,quechua,real
0,jawa,Afuera. Fuera del sitio en que uno está
1,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol
2,piqtuy,Mezclar. Desordenar lo que ya estaba en orden
3,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa
4,maray,"Derribar. Echar abajo, tirar al suelo"
5,kikinchay,Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma
6,janaq,"Alto. Elevado, superior, arriba"
7,ch'uwa,Privación de algo necesario o útil
8,thanta,Trapo. Pedazo de tela desechado por viejo
9,ayllu suti,Apellido. Nombre de familia
10,awqay,"Guerrear, hacer guerra"
11,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales
12,manchariy,Asustarse
13,miniy,Tramar. Cruzar la rama con la urdimbre para tejer alguna tela
14,yaqch'ikuy,Lavarse ligeramente las manos o los dedos
15,ati,Adversidad. Desventura
16,llat'a kay,Desnudez. Falta de vestido
17,tutayay,Anochecer. Llegar la noche
18,mañaqay,Pedir la mano de la novia
19,ura,"Bajo, -ja. Lo que está en un lugar inferior respecto a otras cosas de la misma clase"
20,pukayachiy,Abochornar. Sonrojar
21,allinchana,Normalización
22,khiwiy,"Envolver. Enovillar, arrollar"
23,thaparaku,Mariposa nocturna de gran tamaño
24,q'atayay,"Enturbiarse, volverse turbio un líquido"
25,puchuy,Sobrar. Haber más de lo necesario
26,khapa,Zancada. Paso largo
27,mamuy,Pasar las manos por la superficie de un montón de cereales u otras cosas arrastrando a un lado lo que no ha de servir
28,q'achu,Hierba verde que se da a los animales herbívoros
29,jamyayay,"Volverse insípido, sin sabor"
30,intichaw,Domingo. Día domingo
31,sika sika,Oruga. Larva vermiforme de mariposa
32,ituray,Retirar la olla del fogón
33,rimaysiq,Intercesor
34,q'iquy,"Hacer flecos, grecas, etc"
35,pallquy,Defraudar. Hacer farsa
36,chaqnay,Cargar. Poner o echar peso sobre una bestia
37,wachu,Hilera
38,juñu,Conjunto. Reunión de personas o cosas que forman un todo
39,sayariy,Dejar la cama en las mañanas
40,ch'irma,"Zozobra. Intranquilidad, desasosiego, inquietud"
41,phutichiy,Atribular
42,ruk'iy,"Tupir. Apretar mucho una cosa, cerrando sus intersticios"
43,llaksay,Fundir metales
44,ch'allay,Rociar. Esparcir en gotas menudas un líquido
45,chaya,"Cocción, cocimiento"
46,maywanakuy,Amarse apasionadamente
47,phiña,"Enojado, -da. Dícese de la persona renegada o colérica"
48,ch'isiyay,Anochecer. Llegar la noche
49,mintuy,Hacer envoltorio
50,jamp'atu,Sapo
51,siklla kay,"Hermosura. Belleza, calidad de hermoso"
52,puka,"Rojo, -ja. De color parecida a la sangre"
53,usqha kay,Rapidez. Velocidad impetuosa
54,ruq'a,Prudente. Que obra y tiene prudencia
55,khuyay,Compasión
56,sanampa,Signo alfabético
57,raymichay,"Festejar. Conmemorar, celebrar algo con fiestas"
58,llust'iy,"Desollar. Despellejar, escoriar"
59,paqar,Madrugada. Alba
60,ch'aqchu,"Rociadura, salpicadura"
61,k'aspiyay,"Adelgazarse, enflaquecer"
62,muskiy,Oler. Percibir los olores
63,k'acha,"Gustoso, agradable"
64,wakiñiqpi,Algunas veces
65,sayt'uchay,"Alargar. Estirar, hacer más largo"
66,pata pata,"Superficial, ligero"
67,manti,"Suave al gusto, delicioso. / Carne tierna, carne deliciosa.: Manti aycha"
68,qhari wawa,Hijo de la mujer
69,chulluy,Remojarse
70,mich'akuy,Escatimar. Dar con mezquindad
71,ayma,"Procesión; acto de ir ordenadamente de un lugar a otro con algún fin público, cívico o religioso"
72,quncha,"Sobrino de varón, hijo o hija de la hermana"
73,suysuna,"Cernidor. Cedazo, criba"
74,paqpa,"Cana, cabello blanco"
75,chhira,"Azadón. chhiri (<A). K'upa, k'uspa, chhurku. adj. Crespo, -pa. Rizado, ensortijado de cabellos"
76,machu pikchu,"La gran ciudadela pétrea que fue quizá uno de los más grandes monumentos religiosos del incanato, entre el valle del Cusco y la selva virgen (JAL)"
77,qullqi,"Plata. Metal precioso, blanco, brillante y sonoro"
78,majichiy,"Aburrir. Hastiar, cansar, molestar, fastidiar"
79,yachaqay,"Aprender, adquirir el conocimiento de una cosa"
80,sunqunnay,Descorazonar. Arrancar el corazón
81,wacha,Parto. Acto de parir
82,kiska,Espina. Púa vegetal
83,pampa runa,"Hombre común, persona común"
84,kikinchay,Igualar. Poner al igual
85,muthuchay,Embotar. Quitar filo
86,pacha,"Universo, cosmos, mundo"
87,t'aqmay,"Desbaratar. De hacer, desquiciar"
88,sut'ichay,Explicar. Aclarar las causas
89,rumi sunqu,Empedernido. Insensible. Que no siente las cosas que causan dolor o mueven a lástima
90,mankuy,"Trozar, cortar madera en pedazos"
91,kay,"Ser, existir"
92,yukra,Camarón. Crustáceo marino comestible
93,wiñay,Crecer. Tomar aumento sensible los cuerpos naturales
94,imanay,Hacer o suceder alguna cosa
95,chichi,Carne
96,jatunpuquy killa,Febrero. Ver mes
97,khachi,Dícese del alimento mezclado con tierra
98,khuchichay,Hacer inmunda o sucia una cosa
99,thantay,"Usar. Utilizar, envejecer alguna cosa"
100,chhapuy,"Amasar, mezclar harina u otra materia semejante con agua u otro líquido"
101,sinqa jutk'u,Cavidad nasal
102,sillk'u,Kilómetro. Medida de longitud que tiene 1.000 metros. sillp'a. Plano y delgado
103,wank'a,"Roca, peñasco"
104,ninayaq,"Incandescente, que se pone candente"
105,anchachay,Encarecer. Ponderar. Exagerar
106,jayay,Amargar. Tener sabor amargo
107,papa,Papa (<Q)
108,q'atachay,"Enturbiar, poner turbio o hacer borroso un líquido. q'atawi (<A). Iksu. s. Cal. Sustancia cáustica blanca"
109,jawanchaq,El o la que quebranta la fidelidad conyugal
110,phutirayay,"Hallarse melancólico. phutirayay. s Melancolía, tristeza acompañada de nostalgia"
111,t'itu kay,Previsión. Acción de prever
112,khiki,"Acaro de la sarna. Arador, arácnido que produce la sarna"
113,usthuy,Acurrucarse. Encogerse para resguardarse del frío o con otro objeto
114,akchiyay,Estornudar
115,pakakuy,Esconderse
116,yalli,Victoria. Triunfo sobre el adversario
117,adj y s,"Xilófago, -ga. Dícese de los insectos que roen la madera. k'ullu sunqu. Insensible, que no siente las cosas que causan lástima"
118,yawarchay,Ensangrentar. Manchar con sangre
119,jaqayman,A aquel lugar
120,p'iqtay,Tirar flechas con el arco
121,llat'a,"Desnudo, -da. Sin vestido, pelado. llat'akuy. r. y prnl. Desnudarse, quitarse la ropa"
122,saqra,"Maligno, -na. De índole perniciosa"
123,khusmu,Octava parte de un entero. Un octavo
124,achikuy,"Predecir, vaticinar"
125,qharatisi,Libélula
126,wichariy,"Subir. Ascender, pasar a lugar más alto"
127,ap'a,Colchón. Cojín grande rellenado de lana o pluma
128,jaway,"Nieto, nieta"
129,runay kachay,Alardear. Hacer alarde
130,qasi,Desocupado
131,mullapa,Nudo muy complicado; nudo o amarro que se ha enredado; racimo compacto de flores o frutos
132,chuqay,"Arrojar, botar"
