modelo,quechua,real,llm,sim_lexica,sim_semantica,coincide
claude-opus-4-8,jawa,Afuera. Fuera del sitio en que uno está,"Afuera, en la parte exterior",0.507,0.538,True
claude-opus-4-8,aspakay,Acción de dar ofrenda a la divinidad con fiesta,Escarbar o remover la tierra,0.427,0.068,False
claude-opus-4-8,piqtuy,Mezclar. Desordenar lo que ya estaba en orden,"Mezclar, revolver lo ordenado",0.486,0.652,True
claude-opus-4-8,muskiykachay,Oliscar. Oler algo con cuidado y persistencia,Olfatear repetidamente buscando algo,0.519,0.439,False
claude-opus-4-8,maray,"Derribar. Echar abajo, tirar al suelo","Batán, piedra plana de moler",0.4,0.18,False
claude-opus-4-8,kikinchay,Identificar. Hacer que dos o más cosas aparezcan como una misma,"Identificar, considerar idéntico",0.442,0.572,True
claude-opus-4-8,janaq,"Alto. Elevado, superior, arriba","Arriba, lo alto, lo superior",0.821,0.715,True
claude-opus-4-8,ch'uwa,Privación de algo necesario o útil,"Claro, transparente, limpio (líquido)",0.394,0.109,False
claude-opus-4-8,thanta,Trapo. Pedazo de tela desechado por viejo,"Trapo viejo, harapo, andrajo",0.551,0.657,True
claude-opus-4-8,ayllu suti,Apellido. Nombre de familia,"Apellido, nombre de la familia o ayllu",0.8,0.72,True
claude-opus-4-8,awqay,"Guerrear, hacer guerra","Guerrear, hacer la guerra",1.0,0.973,True
claude-opus-4-8,iñu,Nigua. Insecto parecido a la pulga que se introduce en el pie,"Muy pequeño, una pizca",0.265,0.338,False
claude-opus-4-8,manchariy,Asustarse,"Asustarse, espantarse",0.6,0.823,True
claude-opus-4-8,miniy,Tramar. Cruzar la rama con la urdimbre para tejer,Pasar la trama al tejer,0.609,0.758,True
claude-opus-4-8,yaqch'ikuy,Lavarse ligeramente las manos o los dedos,Lavarse ligeramente las manos,1.0,0.935,True
claude-opus-4-8,ati,Adversidad. Desventura,"Desgracia, adversidad, infortunio",0.618,0.173,False
claude-opus-4-8,llat'a kay,Desnudez. Falta de vestido,"Desnudez, estar desnudo",0.531,0.653,True
claude-opus-4-8,tutayay,Anochecer. Llegar la noche,"Anochecer, oscurecer",0.565,0.751,True
claude-opus-4-8,mañaqay,Pedir la mano de la novia,"Pedir, solicitar la mano de la novia",0.842,0.948,True
claude-opus-4-8,ura,"Bajo, -ja. Lo que está en un lugar inferior","Abajo, lo que está debajo",0.618,0.733,True
claude-opus-4-8,pukayachiy,Abochornar. Sonrojar,"Sonrojar, hacer poner rojo",0.609,0.733,True
claude-opus-4-8,allinchana,Normalización,"Mejoramiento, arreglo, normalización",1.0,0.555,True
claude-opus-4-8,khiwiy,"Envolver. Enovillar, arrollar","Enrollar, envolver, torcer",0.618,0.578,True
claude-opus-4-8,thaparaku,Mariposa nocturna de gran tamaño,"Polilla, mariposa nocturna grande",0.738,0.705,True
claude-opus-4-8,q'atayay,"Enturbiarse, volverse turbio un líquido",Enturbiarse un líquido,0.721,0.89,True
claude-opus-4-8,puchuy,Sobrar. Haber más de lo necesario,"Sobrar, quedar de más",0.63,0.634,True
claude-opus-4-8,khapa,Zancada. Paso largo,"Zancada, paso largo",0.947,0.927,True
